Date,Clicks,Impressions,CTR,Position
2026-01-18,4,289,1.38%,38.4
2026-01-19,0,304,0%,33.6
2026-01-20,3,401,0.75%,31
2026-01-21,5,250,2%,31.3
2026-01-22,4,307,1.3%,36.3
2026-01-23,3,276,1.09%,39.7
2026-01-24,0,214,0%,45.7
2026-01-25,1,183,0.55%,38.7
2026-01-26,1,169,0.59%,31.7
2026-01-27,5,182,2.75%,30.8
2026-01-28,0,155,0%,31.3
2026-01-29,1,160,0.62%,27
2026-01-30,0,149,0%,33.6
2026-01-31,0,139,0%,47.3
2026-02-01,2,147,1.36%,33.4
2026-02-02,5,156,3.21%,26.9
2026-02-03,3,131,2.29%,26.6
2026-02-04,1,192,0.52%,14.2
2026-02-05,0,164,0%,29.6
2026-02-06,3,189,1.59%,30.2
2026-02-07,1,252,0.4%,34.5
2026-02-08,0,249,0%,37
2026-02-09,6,268,2.24%,32.9
2026-02-10,2,312,0.64%,23.5
2026-02-11,4,316,1.27%,28.6
2026-02-12,2,273,0.73%,28.2
2026-02-13,5,205,2.44%,29.6
2026-02-14,0,243,0%,27.5
2026-02-15,0,223,0%,26.5
2026-02-16,4,252,1.59%,27.4
2026-02-17,0,247,0%,32
2026-02-18,3,250,1.2%,26.2
2026-02-19,4,269,1.49%,28.1
2026-02-20,3,232,1.29%,28.5
2026-02-21,1,232,0.43%,33.6
2026-02-22,1,242,0.41%,36.8
2026-02-23,2,272,0.74%,32.3
2026-02-24,4,234,1.71%,31.4
2026-02-25,6,314,1.91%,27.3
2026-02-26,2,327,0.61%,31.1
2026-02-27,1,318,0.31%,35.7
2026-02-28,1,236,0.42%,43.1
2026-03-01,1,258,0.39%,38.9
2026-03-02,3,310,0.97%,34.6
2026-03-03,2,376,0.53%,42.2
2026-03-04,4,698,0.57%,49.3
2026-03-05,2,445,0.45%,35.8
2026-03-06,2,454,0.44%,26.2
2026-03-07,1,282,0.35%,36.9
2026-03-08,1,344,0.29%,35.4
2026-03-09,4,448,0.89%,33.4
2026-03-10,4,423,0.95%,31.4
2026-03-11,3,367,0.82%,33
2026-03-12,5,382,1.31%,34.6
2026-03-13,0,313,0%,36.8
2026-03-14,0,236,0%,29.1
2026-03-15,1,205,0.49%,23.9
2026-03-16,4,357,1.12%,23.3
2026-03-17,6,319,1.88%,24.8
2026-03-18,3,263,1.14%,27.5
2026-03-19,2,383,0.52%,39.7
2026-03-20,2,687,0.29%,44.7
2026-03-21,1,489,0.2%,41.9
2026-03-22,2,513,0.39%,42.5
2026-03-23,1,558,0.18%,37.1
2026-03-24,3,606,0.5%,39.6
2026-03-25,3,625,0.48%,37.8
2026-03-26,2,517,0.39%,37.2
2026-03-27,0,429,0%,34.2
2026-03-28,5,369,1.36%,34.4
2026-03-29,1,376,0.27%,31.4
2026-03-30,5,429,1.17%,32.8
2026-03-31,2,442,0.45%,35.9
2026-04-01,5,456,1.1%,29.4
2026-04-02,5,353,1.42%,30.1
2026-04-03,2,341,0.59%,34.8
2026-04-04,2,290,0.69%,31.5
2026-04-05,2,302,0.66%,41.9
2026-04-06,0,418,0%,37.2
