Country,Clicks,Impressions,CTR,Position
India,321,10800,2.97%,13.23
Pakistan,37,334,11.08%,34.96
United Kingdom,9,7588,0.12%,38.88
United States,8,31827,0.03%,37.51
Thailand,5,87,5.75%,26.97
South Africa,3,46,6.52%,20.91
Netherlands,2,315,0.63%,45.38
France,2,125,1.6%,18.34
Poland,2,68,2.94%,25.87
Belgium,1,526,0.19%,16.08
Germany,1,399,0.25%,24.07
Australia,1,373,0.27%,40.34
Brazil,1,340,0.29%,10.63
Philippines,1,207,0.48%,25.86
Cyprus,1,124,0.81%,29.86
Turkey,1,118,0.85%,13.36
Mexico,1,114,0.88%,14.93
Bangladesh,1,98,1.02%,26.58
Sweden,1,85,1.18%,31.38
Egypt,1,82,1.22%,29.41
Saudi Arabia,1,75,1.33%,34.04
South Korea,1,58,1.72%,10.47
Ukraine,1,50,2%,21.46
Japan,1,49,2.04%,12.88
Iraq,1,29,3.45%,18.03
Bolivia,1,5,20%,4.4
Uganda,1,3,33.33%,5
Slovakia,1,3,33.33%,12
Iceland,1,3,33.33%,29.33
Canada,0,670,0%,30.22
United Arab Emirates,0,255,0%,28.66
Greece,0,198,0%,35.36
Italy,0,187,0%,28.63
Vietnam,0,145,0%,20.5
Spain,0,142,0%,21.12
Indonesia,0,121,0%,17.3
Israel,0,98,0%,24.48
Singapore,0,95,0%,13.38
Malaysia,0,86,0%,20.47
Russia,0,80,0%,15.46
Portugal,0,78,0%,47.21
Switzerland,0,77,0%,40.12
Argentina,0,63,0%,25.35
Colombia,0,58,0%,16.5
Romania,0,58,0%,18.09
China,0,52,0%,12.87
Jersey,0,48,0%,31.56
Nigeria,0,45,0%,12.78
Hong Kong,0,43,0%,23.56
New Zealand,0,31,0%,35.32
Austria,0,30,0%,19.1
Peru,0,29,0%,17.69
Bulgaria,0,27,0%,21.19
Venezuela,0,26,0%,24.65
Ireland,0,26,0%,30.35
Ecuador,0,25,0%,13.12
Ghana,0,24,0%,7.12
Morocco,0,24,0%,20.71
Taiwan,0,23,0%,10.17
Kuwait,0,23,0%,23.74
Czechia,0,22,0%,15.27
Denmark,0,21,0%,9.33
Chile,0,20,0%,9.55
Oman,0,20,0%,21.7
Norway,0,20,0%,45.55
Hungary,0,18,0%,8.39
Iran,0,17,0%,7.24
Algeria,0,17,0%,16.82
Latvia,0,17,0%,35.18
Finland,0,16,0%,12.06
Dominican Republic,0,15,0%,20.93
Tunisia,0,14,0%,9.93
Serbia,0,14,0%,13.79
Belarus,0,14,0%,30.43
Jamaica,0,14,0%,39.93
Kenya,0,13,0%,9
Costa Rica,0,13,0%,10.15
Qatar,0,13,0%,39.08
Malta,0,12,0%,71.5
Sri Lanka,0,11,0%,6.27
Honduras,0,11,0%,22.64
Tanzania,0,10,0%,6.2
Kazakhstan,0,10,0%,13.8
Nepal,0,10,0%,25.6
Ethiopia,0,9,0%,21
Albania,0,8,0%,9.5
Panama,0,8,0%,15.38
Uzbekistan,0,8,0%,16.88
Estonia,0,8,0%,54.62
Paraguay,0,7,0%,12
Lithuania,0,7,0%,13.14
Angola,0,7,0%,13.29
Cambodia,0,7,0%,13.71
Croatia,0,7,0%,15.86
Jordan,0,7,0%,19.29
Slovenia,0,7,0%,31.29
Guatemala,0,6,0%,7.5
Palestine,0,6,0%,11.83
Georgia,0,6,0%,12.83
Armenia,0,6,0%,25.5
Macedonia,0,5,0%,5.4
Laos,0,5,0%,8.2
Lebanon,0,5,0%,15.8
Trinidad & Tobago,0,5,0%,23.8
Senegal,0,5,0%,28.6
Mauritius,0,5,0%,69.8
Kosovo,0,4,0%,4.75
Moldova,0,4,0%,5.25
Uruguay,0,4,0%,9.5
El Salvador,0,4,0%,10.25
Madagascar,0,4,0%,16.75
Myanmar (Burma),0,4,0%,38.75
Côte d’Ivoire,0,4,0%,48.5
Comoros,0,3,0%,4.33
Botswana,0,3,0%,4.67
Macau,0,3,0%,9.33
Bahamas,0,3,0%,19.67
Azerbaijan,0,3,0%,23.33
Cuba,0,3,0%,31.67
Guam,0,2,0%,1.5
Rwanda,0,2,0%,2.5
Nicaragua,0,2,0%,4
Barbados,0,2,0%,5
Brunei,0,2,0%,5
Zambia,0,2,0%,5
Belize,0,2,0%,6
Montenegro,0,2,0%,6.5
Bermuda,0,2,0%,7.5
Cameroon,0,2,0%,7.5
Puerto Rico,0,2,0%,7.5
Mali,0,2,0%,9.5
Liberia,0,2,0%,10.5
Guyana,0,2,0%,11
Bahrain,0,2,0%,12.5
Afghanistan,0,2,0%,29.5
Suriname,0,2,0%,49.5
Lesotho,0,1,0%,1
Namibia,0,1,0%,1
Sierra Leone,0,1,0%,1
Bosnia & Herzegovina,0,1,0%,3
Faroe Islands,0,1,0%,6
Haiti,0,1,0%,7
Tonga,0,1,0%,7
Benin,0,1,0%,8
Cayman Islands,0,1,0%,8
Guinea,0,1,0%,8
Curaçao,0,1,0%,9
Swaziland,0,1,0%,11
Malawi,0,1,0%,12
Mongolia,0,1,0%,13
Caribbean Netherlands,0,1,0%,18
Grenada,0,1,0%,18
San Marino,0,1,0%,20
Congo - Kinshasa,0,1,0%,37
Unknown Region,0,1,0%,46
Kyrgyzstan,0,1,0%,52
St. Kitts & Nevis,0,1,0%,97
